stock,industry_code,industry_name,implement_date
688079,C39,计算机、通信和其他电子设备制造业,2021/3/2
688080,C39,计算机、通信和其他电子设备制造业,2020/2/12
688081,C39,计算机、通信和其他电子设备制造业,2020/1/6
688082,C35,专用设备制造业,2021/11/18
688083,I65,软件和信息技术服务业,2021/3/11
688084,C35,专用设备制造业,2022/12/8
688085,C35,专用设备制造业,2020/4/9
688086,C39,计算机、通信和其他电子设备制造业,2020/2/26
688087,C42,废弃资源综合利用业,2021/7/9
688088,I65,软件和信息技术服务业,2019/7/22
688089,C14,食品制造业,2019/12/19
688090,C35,专用设备制造业,2020/2/17
688091,C27,医药制造业,2021/9/9
688092,C35,专用设备制造业,2021/3/19
688093,C39,计算机、通信和其他电子设备制造业,2020/9/30
688095,I65,软件和信息技术服务业,2020/9/8
688096,C35,专用设备制造业,2020/4/9
688097,C35,专用设备制造业,2021/5/12
688098,C27,医药制造业,2019/10/28
688099,C39,计算机、通信和其他电子设备制造业,2019/8/8
688099,I65,软件和信息技术服务业,2019/10/28
688100,C39,计算机、通信和其他电子设备制造业,2020/1/21
688101,C35,专用设备制造业,2019/11/15
688102,C32,有色金属冶炼及压延加工业,2022/3/16
688103,C39,计算机、通信和其他电子设备制造业,2021/9/10
688105,M73,研究和试验发展,2021/11/15
688106,C26,化学原料及化学制品制造业,2020/6/16
688107,C39,计算机、通信和其他电子设备制造业,2021/11/12
688108,C35,专用设备制造业,2019/10/30
688109,I65,软件和信息技术服务业,2021/3/30
688110,C35,专用设备制造业,2021/12/10
688110,C39,计算机、通信和其他电子设备制造业,2022/9/30
688111,I65,软件和信息技术服务业,2019/11/18
688112,C40,仪器仪表制造业,2021/12/1
688113,C35,专用设备制造业,2021/5/6
688114,C35,专用设备制造业,2022/9/9
688115,C40,仪器仪表制造业,2022/3/14
688116,C26,化学原料及化学制品制造业,2019/9/25
688117,C27,医药制造业,2021/6/3
688118,I65,软件和信息技术服务业,2019/12/4
688119,C30,非金属矿物制品业,2022/6/6
688120,C35,专用设备制造业,2022/6/8
688121,C35,专用设备制造业,2021/9/6
688122,C32,有色金属冶炼及压延加工业,2019/7/22
688123,C39,计算机、通信和其他电子设备制造业,2019/12/23
688125,C35,专用设备制造业,2022/4/15
688126,C39,计算机、通信和其他电子设备制造业,2020/4/20
688127,C41,其他制造业,2020/9/21
688127,C40,仪器仪表制造业,2021/1/25
688128,M74,专业技术服务业,2019/11/5
688128,C35,专用设备制造业,2020/7/14
